"","data","denominazione_regione","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","casi_da_sospetto_diagnostico","casi_da_screening","totale_casi","tamponi","casi_testati","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","all_day_bing_tiles_visited_relative_change","all_day_ratio_single_tile_users"
"1","2020-02-15","Abruzzo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,36,9,0,-1,NA,NA
"2","2020-02-15","Basilicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,12,0,-1,0,NA,NA
"3","2020-02-15","Calabria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,12,3,1,0,NA,NA
"4","2020-02-15","Campania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1,23,10,0,-2,NA,NA
"5","2020-02-15","Emilia-Romagna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,25,7,1,-2,NA,NA
"6","2020-02-15","Friuli Venezia Giulia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,45,10,1,-1,NA,NA
"7","2020-02-15","Lazio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-1,43,9,1,-2,NA,NA
"8","2020-02-15","Liguria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,41,8,1,-1,NA,NA
"9","2020-02-15","Lombardia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1,50,8,-2,-1,NA,NA
"10","2020-02-15","Marche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-1,32,9,1,-1,NA,NA
"11","2020-02-15","Molise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,25,4,2,-1,NA,NA
"12","2020-02-15","Piemonte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,23,4,0,-1,NA,NA
"13","2020-02-15","Puglia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,4,2,-1,0,NA,NA
"14","2020-02-15","Sardegna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-1,23,4,0,0,NA,NA
